komentar,cleaned_komentar
Sangat puas dengan produk ini! Pengiriman cepat dan barang sesuai deskripsi.,puas produk kirim cepat barang sesuai deskripsi
"Barang sampai dalam keadaan baik, penjual ramah dan respon cepat.",barang jual ramah respon cepat
"Tidak sesuai dengan gambar, kualitas buruk. Tidak akan beli lagi di sini.",sesuai gambar kualitas buruk beli
"Produk bagus, harga terjangkau. Recommended seller!",produk bagus harga jangkau recommended seller
"Packing rapi dan aman, tapi pengiriman agak lambat.",packing rapi aman kirim lambat
"Penjual tidak responsif, pengiriman lama sekali. Kecewa!",jual responsif kirim kecewa
"Barang cacat saat diterima, minta refund tapi belum ada respon.",barang cacat terima refund respon
"Kualitas produk oke, tapi pengiriman cukup lama. Semoga bisa diperbaiki.",kualitas produk oke kirim moga baik
"Produk sesuai deskripsi, harga murah. Pasti akan beli lagi.",produk sesuai deskripsi harga murah beli
"Tidak puas, barang berbeda dengan yang diiklankan. Tidak direkomendasikan!",puas barang beda iklan rekomendasi
